,시간,내용,송출지역
0,2020/05/11 14:09:46,"[화성시청]4.29이후 이태원클럽 집단감염 관련시설 출입자는 경기도행정명령에 따라 코로나검사를 받아야함. 대인접촉금지. 위반시 고발, 확산시 구상권 청구될수 있음

",경기도 화성시
1,2020/05/11 14:10:11,"[성남시청] 4.24~5.6일까지 이태원 클럽등 인근 업소, 논현동 블랙수면방 방문자는 외출을 자제하고 증상유무와 관계없이 보건소에서 검사받으시기 바랍니다.

",경기도 성남시
2,2020/05/11 14:11:55,"[안성시] 정부긴급재난지원금(신용, 체크) 신청 안내
세대주 본인 소유 카드사 홈페이지에서 신청
(이번주: 5부제 적용/16일(토)부터: 요일제 없이 가능)

",경기도 안성시
3,2020/05/11 14:25:07,"[대구광역시청] 정부 긴급재난지원금(신용, 체크) 신청 안내
세대주 본인 소유 카드사 홈페이지에서 신청
(이번주: 5부제 적용/16일~31일:요일제 없이 가능)

",대구광역시 전체
4,2020/05/11 14:31:18,"[관악구청] 52번째 확진자(신림동) 발생 및 49~51번째 동선공개,
4.29.~5.6. 이태원클럽 방문자는 증상유무 관계없이 검사바람
gwanak.go.kr

",서울특별시 관악구
5,2020/05/11 14:41:22,"[진주시청]4.24~5.6일까지 이태원등 서울 다수발생지역을 다녀오신 분은 클럽과 주점을 방문하지 않으셔도 반드시 보건소로(749-5714) 연락주시기 바랍니다.

",경상남도 진주시
6,2020/05/11 14:44:58,"[부천시청]코로나19 추가확진자1명 발생[클럽방문확진자 가족, 중동]
거주지방역실시,세부내용 블로그확인바랍니다.
blog.naver.com/bucheon-city

",경기도 부천시
7,2020/05/11 14:59:30,"[태백시청]정부긴급재난지원금온라인신청방법/세대주신청/카드사홈페이지/5.11~5.15/요일제 신청/5.16~5.31/출생연도 상관없이 신청가능 문의550-3000

",강원도 태백시
8,2020/05/11 15:08:55,"[서초구청] 이태원 집단감염이 지역으로 확산되고 있습니다. 거리두기, 마스크쓰기, 손씻기 등 위생수칙 준수로 가족과 이웃의 안전을 지켜주세요.

",서울특별시 서초구
9,2020/05/11 15:09:19,"[수원시청] 4.29.~5.6. 이태원동, 논현동 클럽,주점,수면방 방문자는 외출과 외부접촉을 자제하고, 보건소 문의 후 무상 검사받기 바랍니다.

",경기도 수원시
10,2020/05/11 15:16:04,"[양주시청]긴급재난지원금 5.11일부터 온라인 신청가능하며, 신용, 체크카드사 홈페이지에서 마스크 구입 요일에 세대주가 신청(읍면동 방문신청은 5.18.부터)

",경기도 양주시
11,2020/05/11 15:34:44,"[강서구청]강서구 확진자(강남구 확진자의 직장내 접촉)발생안내. 거주지방역완료. 상세내용 블로그 참조바랍니다. blog.naver.com/gangseokkachi

",서울특별시 강서구
12,2020/05/11 15:46:21,"[포항시청]서울 이태원 클럽에서 다수의 확진자가 발생하여 소중한 일상으로의 복귀가 조금 더 멀어지고 있습니다. 우리시 지역감염 예방을 위해 4.30 ~5.6 서울

",경상북도 포항시
13,2020/05/11 15:46:36,"[포항시청]이태원클럽을 방문하신 분은 우리시 선별진료소인 남·북구보건소에서 검사를 받으시기 바라며, 남구보건소는 드라이브 스루검사로 익명성이 보장되오니 신분노출에

",경상북도 포항시
14,2020/05/11 15:46:52,"[포항시청]대한 걱정은 하지않으셔도 됩니다. 또한 미검사로인한 확진발생으로 피해발생시 손해배상청구 및 200만원이하 벌금을 부과할 수 있음을 유념하시기 바랍니다.

",경상북도 포항시
15,2020/05/11 15:48:32,"[의왕시청]6번 확진자 추가 동선
5/8(금)18:47~19:20 늘푸른쌈밥집(자차)
※5.6.(수)18~20시 정통밥집 방문후 유증상자는 보건소로 연락바랍니다.

",경기도 의왕시
16,2020/05/11 15:55:34,"[충북도청] 4.24.~5.6.까지 이태원 클럽, 논현동 블랙수면방 등 방문자는 외출을 자제하고 시군보건소에 문의, 전수 무료 진단 검사를 받으시기 바랍니다.

",충청북도 전체
17,2020/05/11 15:56:53,"[충주시청]정부긴급재난지원금 신청:요일제/세대주 온라인신청<각 카드사/5.11.(월)~/신용,체크카드>카드사홈페이지확인/방문신청(5.18.이후-카드사 및 읍면동)

",충청북도 충주시
18,2020/05/11 16:06:58,"[예산군청]긴급재난지원금 11일부터 세대주 본인 카드사(신용,체크) 홈페이지 신청(출생연도 끝자리 5부제 적용) 상담콜센터339-6281~6286

",충청남도 예산군
19,2020/05/11 16:11:59,"[목포시청]긴급재난지원금 신청안내(요일제)
①신용,체크카드 충전 : 세대주 소유 카드사 홈페이지(5.11~) 또는 카드사와 연계된 은행을 방문(5.18~)바랍니다

",전라남도 목포시
20,2020/05/11 16:14:20,"[충남도청]①이태원클럽 등 방문자(4.24~5.6) 진단검사 및 대인접촉금지,②유흥시설 집합금지(5.11~5.24), 가족과 이웃의 안전을 위해 참여 부탁드립니다

",충청남도 전체
21,2020/05/11 16:16:12,"[목포시청]② 선불카드 : 시 홈페이지 또는 주소지 동 행정복지센터(5.18~)에 신청바랍니다. ※ 신청시 세대원, 대리인도 신청 및 수령 가능(위임장 지참)

",전라남도 목포시
22,2020/05/11 16:18:50,"[용산구청]코로나 31번째 확진자(보광동) 발생. 역학조사중. 홈페이지 및 블로그를 참고 바랍니다. blog.naver.com/ysnblog

",서울특별시 용산구
