,시간,내용,송출지역
0,2020/03/14 18:03:19,"[송파구청] 코로나19 확산방지를 위해 예배, 법회 등 종교행사와 집회, 각종모임을 자제하여 주시고, 사회적 거리두기, 예방수칙을 지켜주시기 바랍니다.

",서울특별시 송파구
1,2020/03/14 18:04:03,"[대전광역시] 금일 추가 확진자 없음(총 22명). 확진자 동선은 시 홈페이지나 SNS를 참고하시고 확산 방지를 위해 위생수칙 준수 바랍니다.

",대전광역시 전체
2,2020/03/14 18:32:35,"[영양군청]15일(일) 마스크 구입 대상은 주중에 구매하지 않은 사람. 보건약국 15시부터 판매합니다. 농협하나로마트, 우체국, 나머지 약국은 휴업입니다.

",경상북도 영양군
3,2020/03/14 18:37:48,"[이천시청] 코로나19 확산 방지를 위해 종교행사, 집회 자제 및 사회적 거리두기 운동에 적극 동참하여 주시기 바랍니다.

",경기도 이천시
4,2020/03/14 18:55:32,"[도봉구청] 코로나19 도봉구 2번째 확진자에 대한 역학조사결과, 도봉구 이동경로 및 대응조치 사항을 도봉구청 홈페이지에 공지합니다. 참고바랍니다.

",서울특별시 도봉구
5,2020/03/14 18:56:39,"[노원구청] 코로나19 도봉구 2번 확진자의 노원구 이동 경로 및 조치 사항을 노원구청 홈페이지 공지사항에 공개하였습니다.

",서울특별시 노원구
6,2020/03/14 18:59:22,"[구로구청] 구로구 17번 및 18번 확진자 동선공개, 자세한 정보는 구로구청 블로그 및 홈페이지 참고 바랍니다. blog.naver.com/digital9ro

",서울특별시 구로구
7,2020/03/14 19:27:40,"[진천군청]음성군 3번 확진자 동선을 진천군청 홈페이지에 안내하였으니 참고하여 주시기 바랍니다.

",충청북도 진천군
8,2020/03/14 19:30:43,"[청주시청] 음성군 3번 확진자 : 청주지역 이동 동선을 청주시 블로그 및 홈페이지에 게시 하였음을 알려 드립니다.

",충청북도 청주시
9,2020/03/14 19:33:00,"[부천시청]코로나추가확진자4명(소사본동3,괴안동1)발생,거주지방역실시,역학조사중,세부내용 블로그 확인바랍니다.
blog.naver.com/bucheon-city

",경기도 부천시
10,2020/03/14 19:33:20,"[청주시청]음성 확진자 동선.
블로그 https://blog.naver.com/cjcityblog
홈페이지 corona.cheongju.go.kr

",충청북도 청주시
11,2020/03/14 19:44:32,"[과천시청] 사람 많은 곳은 코로나19가 제일 좋아하는 환경입니다. 코로나19 예방과 확산방지를 위해 다수가 참석하는 집회, 행사, 모임 등을 자제하시기 바랍니다

",경기도 과천시
12,2020/03/14 20:01:34,"[이천시청] 음성군3번확진자 동선안내 3.13 09:00~09:15 이천콘티넨탈, 09:40~09:45 동명계량소(GS편의점) 접촉자 1명 발생 및 동선 소독완료

",경기도 이천시
13,2020/03/14 20:36:27,"[진천군청] 음성군 3번 확진자 동선에 대하여 추가로 군청 공식 블로그에 게시하였으니, 검색창에 '생거진천 STORY'를 검색하여 확인해 주시기 바랍니다.

",충청북도 진천군
14,2020/03/14 20:40:19,"[관악구청] 16번째 확진자 및 타지역 거주 확진자 역학조사 결과를 공지합니다. 코로나19 종식을 위해 '잠시멈춤 캠페인'에 동참 바랍니다.

",서울특별시 관악구
15,2020/03/14 22:55:36,"[김포시청]김포시 8번째 확진자(운양동 래미안) 발생 - 긴급 방역완료 및 역학조사 진행중, 결과는 시 홈페이지에 게시하겠습니다.콜센터031-5186-4051~6

",경기도 김포시
16,2020/03/15 07:55:11,"[남동구청] 코로나19 추가 확진자 2명(구월1동, 논현고잔동) 발생, 인근지역 방역완료, 이동경로는 구 홈페이지 및 SNS에 게시하였습니다.

",인천광역시 남동구
17,2020/03/15 08:14:16,"[김천시청] 약국 공적마스크 판매시간 알림
9시~ 한독
10시~ 교동, 명플러스, 보람, 원, 남선

",경상북도 김천시
18,2020/03/15 08:14:40,"[김천시청] 11시~ 드림, 비보, 미래, 열린, 이화온누리, 시민, 조은, 녹십자, 보성, 로타리, 재창, 유명프라자온누리

",경상북도 김천시
19,2020/03/15 08:14:59,"[김천시청] 12시~ 경희, 녹십자, 율곡, 김천하나, 제일
13시~ 고바우, 삼화
14시~ 수온누리
16시~ 하나로

",경상북도 김천시
20,2020/03/15 08:15:14,"[김천시청] ※ 미판매분 익일 판매 가능, 약국 사정에 따라 변동 가능성 있으니 양해 바랍니다.

",경상북도 김천시
21,2020/03/15 08:30:09,"[남동구청] 코로나19 3, 4번째 확진자 발생에 따라 외출, 모임, 집회 등 다중이 모이는 활동을 자제하는 사회적 거리두기 운동에 적극 동참해 주시기 바랍니다.

",인천광역시 남동구
22,2020/03/15 08:30:56,"[화성시청] 코로나19 확산방지를 위해 미사, 예배, 법회 등 종교 모임 및 행사를 자제하시고 가정예배나 기도로 대체 바랍니다.(031-5189-1200)

",경기도 화성시
23,2020/03/15 08:34:20,"[영천시청] 코로나19 확산방지를 위하여 단체 종교예배 및 다중이용시설 이용과 외출을 자제하시고, 개인위생 수칙을 준수하시기 바랍니다.

",경상북도 영천시
24,2020/03/15 08:39:36,"[홍천군청] 코로나19 예방 및 확산 방지를 위해 예배, 법회, 미사 등 종교행사와 각종 모임을 자제하여 주실것을 부탁드립니다.

",강원도 홍천군
25,2020/03/15 08:52:00,"[울산광역시]코로나19 28번(남구/여/57) 확진자 발생. 개인위생수칙 및 사회적 거리두기 실천. 감염증 의심시, 052-1339 또는 보건소로 상담하십시오.

",울산광역시 전체
26,2020/03/15 08:52:01,"[기장군청]코로나19예방수칙-흐르는물에비누로30초 이상손씻기-손으로눈코입만지지않기-외출시 마스크착용필수-집회,모임,불필요한 외출자제-발열,호흡기증상자 접촉피하기

",부산광역시 기장군
27,2020/03/15 08:53:20,"[거창군보건소]약국 공적마스크 판매시간 안내(3/15)
9시~태평양,서부,한들,가람
10시~건강한,국민,대성,동산,백두산,상동,선보,정다운,좋은,진명,푸른,행복한

",경상남도 거창군
28,2020/03/15 08:53:56,"[거창군보건소]
11시~ 시민
12시~ 하나로
13시~ 거창
14시~ 송정, 성호당, 덕성(가조)

",경상남도 거창군
29,2020/03/15 09:00:12,"[광명시청] 코로나19 예방을 위해 종교행사 예배를 영상으로 대체하는 등 각종 모임과 행사 참여를 자제하여 주시기 바랍니다.

",경기도 광명시
30,2020/03/15 09:04:24,"[영광군청]오늘(일) 주중에 마스크구매하지않은 분은 '광주약국,녹십자약국,인제약국,우리들약국,준약국,염산종로약국,호산나약국' 및 농축협마트에서 구매가능.신분증필수

",전라남도 영광군
31,2020/03/15 09:12:58,"[합천군보건소]3월15일(일) 공적마스크 판매약국 알림(합천읍)
합천약국(09시~22시), 중앙프라자약국(09시~13시), 소정약국(10시~20시)

",경상남도 합천군
32,2020/03/15 09:13:15,"[합천군보건소]3월15일(일) 공적마스크 판매약국 알림(합천읍)
합천사랑약국(09시~18시), 큰별약국(09시~18시)

",경상남도 합천군
33,2020/03/15 09:13:28,"[합천군보건소]3월15일(일) 공적마스크 판매약국 알림(초계면)
수강약국(09시~18시), 동산약국(13시~18시)

",경상남도 합천군
34,2020/03/15 09:13:54,"[경상남도청] 3.15.(일) 마스크 판매 당번약국 현황은 경상남도 홈페이지를 참고하여 주시고, 판매시간은 약국마다 다름을 알려드립니다.

",경상남도 전체
35,2020/03/15 09:14:02,"[전라북도청]코로나19 감염을 막기 위해 당분간 모임과 종교 등 집회를 자제해 주실것을 호소합니다. 사회적 거리 두기로 나와 이웃 모두의 건강을 지킵시다.

",전라북도 전체
