,시간,내용,송출지역
0,2020/08/16 11:50:34,"[안동시청]서울경기지역 사회적 거리두기 2단계격상/밀접,밀집,밀폐된장소와 타지역방문을 자제하고 마스크착용 및 손씻기등 개인방역 수칙을 철저히 지켜주시기 바랍니다.

",경상북도 안동시
1,2020/08/16 11:50:57,"[대전광역시] 1명 추가 확진. 169번(중구 옥계동, 60대, 서울사랑제일교회 접촉자) 동선은 파악 후 홈페이지에 공개예정입니다.

",대전광역시 전체
2,2020/08/16 11:52:39,"[안양시청] 안양76번 확진자발생. 해외입국자. 병원이송 및 방역 완료. 상세정보 홈페이지 및 SNS참조 blog.anyang.go.kr/222062015755

",경기도 안양시
3,2020/08/16 11:55:47,"[영암군청] 오늘 우리지역 폭염경보 발효중입니다. 오후 12~4시 사이에는 야외작업을 피하고, 물 충분히 마시기, 무더위 쉼터 이용하기 등 안전에 유의바랍니다.

",전라남도 영암군
4,2020/08/16 11:59:04,"[동두천시청] 코로나19 7번, 8번 확진자(서울 사랑제일교회 관련)의 동두천시민 밀접, 접촉자 등 검사결과 112명 전원 음성판정입니다.

",경기도 동두천시
5,2020/08/16 11:59:36,"[동두천시청]시민여러분 현재 서울,경기도 교회, 커피숍 등 확진자가 대량으로 발생하고 있어, 외출은 자제해 주시고 사회적거리두기2단계에 적극 동참하시기 바랍니다.

",경기도 동두천시
6,2020/08/16 12:02:02,"[부평구청]코로나19 확진환자 1명 발생(타지역 확진환자 접촉/부개2동 거주). 방역 및 역학조사 완료. blog.naver.com/withbupyeong

",인천광역시 부평구
7,2020/08/16 12:02:56,"[단양군청] 코로나19 폭증에 따라 수도권방문,소모임,종교활동을 자제하고,마스크착용 등 방역수칙 준수, 수도권 방문 후 호흡기 증상시 보건소 전화주시기 바랍니다.

",충청북도 단양군
8,2020/08/16 12:06:14,"[전남도청] 도내 계속 폭염특보 발효 중. 관광지나 물놀이장에서도 자주 물 마시기, 충분한 휴식, 외출자제 등 온열질환 예방수칙 준수바랍니다.

",전라남도 전체
9,2020/08/16 12:10:39,"[성남시청]확진자3명 발생 및 성남196,198,202,205 용인137,155 성남시 경로를 시홈페이지에 공개하였습니다. corona.seongnam.go.kr

",경기도 성남시
10,2020/08/16 12:20:11,"[강진군청] 수도권과 광주지역에서 코로나19 확진자가 확산되고 있어 타지역 방문자제,소모임자제,마스크착용,손씻기,거리두기 등 방역수칙 잘 지켜주시기 바랍니다.

",전라남도 강진군
11,2020/08/16 12:20:14,"[합천군청] 금일 우리지역에 폭염경보가 발효 중. 무더위가 심한 오후시간대에는 야외활동 및 심한 운동을 자제하시고, 충분한 물마시기와 휴식을 취하시기 바랍니다.

",경상남도 합천군
12,2020/08/16 12:20:32,"[금천구청]42번째 확진자 발생, 생활치료센터 입소 및 자택 방역 완료, 역학조사 후 동선 공개, 금천구 카카오톡 채널 pf.kakao.com/_hUpLxb

",서울특별시 금천구
13,2020/08/16 12:25:02,"[남동구청] 코로나19 확진자 2명(구월4동, 54번째 확진자 접촉자) 발생. 세부 이동동선 등 홈페이지 및 블로그에 게시. reurl.kr/33098E9BSU

",인천광역시 남동구
14,2020/08/16 12:27:15,"[파주시청]스타벅스발 코로나19확진12명(운정2동4/운정3동7/월롱1)추가발생.동선조사후 vo.la/sStRC 공개예정.스타벅스발 확진자누계36명 집단감염위기상황

",경기도 파주시
15,2020/08/16 12:32:10,"[무안군청] 무안군 폭염경보 발효중. 자주 물 마시기, 그늘에서 충분한 휴식, 외출자제 등 온열질환 예방수칙 준수 바랍니다.

",전라남도 무안군
16,2020/08/16 12:32:44,"[경기도청]연천군(필승교) 수위 1m 이상 임진강 수위 상승 중 하천변의 야영객, 어민, 지역주민 등은 대피 바랍니다.

","임진강 수계지역(경기도 연천군
파주시)"
17,2020/08/16 12:44:14,"[용인시청] 208번(여/50대, 기흥구 신갈동/ 우리제일교회 관련) 확진자 발생, 역학조사후 동선은 SNS 및 홈페이지를 통해 공개하겠습니다.

",경기도 용인시
18,2020/08/16 12:46:44,"[대전광역시]폭염 경보 발효 중, 물 충분히 마시기, 한낮 야외활동 자제, 야외 작업장 안전수칙(물,그늘,휴식) 지키기 및 코로나19 방역수칙을 준수 바랍니다.

",대전광역시 전체
19,2020/08/16 12:56:02,"[연제구청] 2020.8.16 코로나-19 연제구 1명 추가 확진 되어, 동선 확인 중에 있습니다. 마스크 착용 및 생활 속 거리두기 수칙 준수 부탁드립니다.

",부산광역시 연제구
20,2020/08/16 12:57:24,"[곡성군청] 곡성군 관내 수해복구지역 봉사활동에 참여하시는 자원봉사자들께서는 발열체크 협조, 마스크 착용, 거리두기 등 코로나19 방역수칙준수에 협조부탁드립니다.

",전라남도 곡성군
21,2020/08/16 12:59:55,"[부안군청] 코로나 19 확진지역 방문자제, 다중이용시설 출입자제 및 마스크 착용 등 개인방역수칙준수, 3행 3금 실천으로 청정부안을 만듭시다.

",전라북도 부안군
22,2020/08/16 13:01:08,"[광진구청] 우리구 43번 확진자 발생 알림(사랑제일교회 추정)
역학조사중, 상세한 내용은 gwangjin.go.kr 확인.
모임자제 및 마스크 착용 필수!

",서울특별시 광진구
23,2020/08/16 13:03:46,"[화순군청] 광주 확진자 동선을 알려드립니다. [광주219번·228번] 8.10(월)~8.12(수) 11:30~12:00 천지한식뷔페(광주 서구 경열로)

",전라남도 화순군
24,2020/08/16 13:04:23,"[화순군청][광주223번·224번] ①8.11(화)21:10~8.12(수)03:30 누룽지노래홀(상무점) ②8.12(수)05:00~05:30 시크릿노래방(상무점)

",전라남도 화순군
25,2020/08/16 13:05:26,"[화순군청] 05:40~07:00 로마노래방(시청로) → 07:10~09:30 심플2노래방(치평동) ③8.14(금) 00:15~05:11 아이리스pc방(화정점)

",전라남도 화순군
26,2020/08/16 13:05:51,"[화순군청] 8.14(금) 06:07~08:06 송정-용산 KTX(18호차)→15:35~17:16 용산-송정KTX(9·10호차 사이 간이의자)

",전라남도 화순군
27,2020/08/16 13:06:27,"[화순군청] [광주225번] ①8.13(목) 20:53~05:00, 8.14(금) 21:00~03:00 초콜렛노래홀(상무점)

",전라남도 화순군
28,2020/08/16 13:06:45,"[화순군청] ② 8.14(금) 03:10~05:35, 8.15(토) 01:30~11:00 블루오션피시방(상무점)을 방문하신 주민은 즉시 보건소 상담바랍니다.

",전라남도 화순군
29,2020/08/16 13:10:28,"[고양시청]▶8.11(화) 19:30-21:30 장항동 도리몽(음식점) ▶8.11(화), 12(수) 11:00-15:00 화정역 광장 서명운동(파라솔)

",경기도 고양시
30,2020/08/16 13:10:55,"[고양시청]▶8.13.(목) 12:30-16:00 식사동 포레스트아웃팅스(카페) 방문하신 분 중 유증상자는 가까운 보건소에서 코로나 검사를 받으시기 바랍니다.

",경기도 고양시
31,2020/08/16 13:12:51,"[강남구청] 서울지역 산사태 위기경보 하향(심각->관심)발령에 따라 관내 대모산, 구룡산, 인능산 등산로를 개방하오니 안전에 유의하시며 이용하시기 바랍니다.

",서울특별시 강남구
32,2020/08/16 13:16:26,"[해남군청] 해남군 폭염특보 발효 중. 한 낮 야외활동을 자제하고 무더위쉼터 이용, 충분한 물 마시기와 휴식으로 온열질환에 유의하시기 바랍니다.

",전라남도 해남군
33,2020/08/16 13:21:28,"[진천군청]서울·경기 사회적 거리두기 2단계 격상.발생 위험지역 방문 자제,소모임 자제,고위험시설·다중이용시설 이용 자제,생활방역수칙 준수 등을 실천 바랍니다.

",충청북도 진천군
34,2020/08/16 13:23:17,"[나주시청] 폭염경보. ▲물 충분히 마시기 ▲무더위 쉼터 이용 ▲실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의바랍니다.

",전라남도 나주시
35,2020/08/16 13:24:59,"[화성시청] 코로나19 58번(봉담읍),59번(병점동),60번(석우동) 확진자 발생. 격리병원이송 및 자택·주변 소독예정, 세부내용 시 홈페이지,SNS 등 참조.

",경기도 화성시
36,2020/08/16 13:25:41,"[대전광역시] 169번 확진자의 동선은 대전광역시 홈페이지나 공식블로그 https://bit.ly/30Yf73G 참고 바랍니다.

",대전광역시 전체
37,2020/08/16 13:26:45,"[기장군청] 금일 부산지역 폭염경보 발효중. 야외활동 자제, 충분한 물 마시기 등 건강에 유의하시기 바랍니다.

",부산광역시 기장군
38,2020/08/16 13:30:24,"[광주광역시]226번 동선안내 8.15(토) 10:00 북구보건소 ※현재 역학조사중으로 동선 확인시 안내하겠습니다. https://c11.kr/h92f

",광주광역시 전체
39,2020/08/16 13:31:17,"[중랑구청] 8.16.(일)55~59번 확진자{성북사랑제일교회 관련 등/ 묵2,중화2(2명),면목2,중화1}발생. 역학조사 진행중. 완료 즉시 홈페이지 공개예정.

",서울특별시 중랑구
40,2020/08/16 13:31:29,"[광주광역시]227번 동선① 8.12(수)22:40~01:58 오라오라유흥주점(상무연하로67) ▶8.13(목)02:10~06:10 첫번째가라오케(상무연하로50)

",광주광역시 전체
41,2020/08/16 13:32:42,"[광주광역시]227번 동선② 8.13(목)21:00~23:05 하이BAR(상무평화로93-8), 8.14(금)00:30~01:35 술마시는설탕노래홀(상무연하로66)

",광주광역시 전체
42,2020/08/16 13:33:57,"[천안시청]수도권 사회적거리두기 2단계 격상관련 - 마스크 착용, 손씻기, 거리두기(1~2m) 등 방역수칙을 준수하고, 소규모 모임을 자제하여 주시기 바랍니다.

",충청남도 천안시
43,2020/08/16 13:34:17,"[광주광역시]227번 동선③ 8.14(금)02:00~03:55 야구장유흥주점(상무연하로8)→04:40~08:10 술마시는설탕노래홀(상무연하로66)

",광주광역시 전체
44,2020/08/16 13:35:17,"[광주광역시]227번 동선④ 8.14(금)20:50~02:00하이BAR(상무평화로93-8), 8.15(토)02:37~03:18 초콜렛노래홀(상무연하로66)

",광주광역시 전체
45,2020/08/16 13:36:16,"[광주광역시]227번 동선⑤ 8.15(토)03:36~05:40 썸유흥주점(상무중앙로72번길13)

",광주광역시 전체
46,2020/08/16 13:36:27,"[전라북도청] 도내 전지역 폭염특보 발효 중, 야외활동 자제, 충분한 물마시기, 물놀이 안전주의 등 건강에 유의바랍니다.

",전라북도 전체
47,2020/08/16 13:38:19,"[군포시청] 확진자 2명 발생. 군포87(50대, 오금동, 86번접촉자), 군포88(60대, 부곡동, 조사중) 상세내용 추후 홈페이지, SNS공지예정입니다.

",경기도 군포시
48,2020/08/16 13:38:33,"[광주광역시]228번 동선 8.12(수)06:20~11:30반도유보라현장(월산동363-1)→ 11:30~12:00, 17~18시 천지한식뷔페(경열로97-1,양동)

",광주광역시 전체
49,2020/08/16 13:39:13,"[구례군청] 구례대책위에서 의류 등 생필품 나눔행사를 하고있습니다. 필요하신 수해민들께서는 구례공설운동장 북쪽에 있는 소규모 다목적 체육관으로 가시기 바랍니다.

",전라남도 구례군
50,2020/08/16 13:43:06,"[남원시] 수해복구지역 봉사활동에 참여하시는 자원봉사자들께서는 폭염경보중이니 건강에 유의하시고 발열체크,마스크착용 코로나19 방역수칙준수에 협조 부탁드리겠습니다.

",전라북도 남원시
51,2020/08/16 13:45:40,"[포천시청] 8월16일 포천시39번 확진자 발생. 신북면[해외입국자(미국)]. 관내 동선 없음. 자가격리중 양성 판정. 자세한 내용은 홈페이지를 참조바랍니다

",경기도 포천시
52,2020/08/16 13:47:32,"[양평군청] 양평군 확진자 발생과 관련 불필요한 외출, 모임 및 다중이용시설 이용을 자제하고, 개인 위생수칙을 꼭 준수하여 주시기 바랍니다.

",경기도 양평군
