,시간,내용,송출지역
0,2020/01/03 16:41:44,"[창녕군청] 오늘 15시 35분 대합면 중앙자동차(폐차장) 화재발생. 인근 주민은 안전한 곳으로 대피하고 차량은 우회 바랍니다. (530-1119)

",경상남도 창녕군
1,2020/01/03 17:20:34,"[환경부] 내일 06~21시 충남, 충북, 세종, 광주, 전북지역 비상저감조치 시행 대중교통 이용 동참, 필요시 보건용 마스크 착용 등 건강관리에 유의 바랍니다.

","광주광역시 전체
전라북도 전체
충청남도 전체
충청북도 전체
세종특별자치시"
2,2020/01/06 09:39:33,"[합천군청] 합천군 관내 도로결빙으로 인한 사고가 발생하고 있으니 빙판길 안정 운행 하시기 바랍니다

",경상남도 합천군
3,2020/01/08 03:04:58,"[영동군청] 01월 08일 02시 00분을 기하여 충청북도(영동) 지역에 강풍주의보가 발표 되었으니, 비닐하우스 등 농림시설 피해발생에 유의 바랍니다.

",충청북도 영동군
4,2020/01/08 10:58:18,"[행정안전부] 오늘 12시00분 동해남부앞바다(경북북부앞바다) 풍랑경보, 어선 출항 금지, 해안가 낚시야영객은 안전지대로 대피바랍니다

","경상북도 영덕군
경상북도 울진군"
5,2020/01/08 16:09:21,"[행정안전부]오늘 16:00 동해남부앞바다(경북남부앞바다) 풍랑경보,어선 출항금지,해안가 낚시야영객은 안전지대로 대피바랍니다

","경상북도 경주시
경상북도 포항시"
6,2020/01/08 16:51:40,"[연천군청] 기온급강하로 인하여 일부도로가 결빙(블랙아이스)될 것으로 예상되어 운전자 및 보행자께서는 주의하시기 바랍니다.

",경기도 연천군
7,2020/01/10 17:14:21,"[환경부] 내일 06~21시 서울, 인천, 경기, 충북지역 미세먼지 비상저감조치 시행. 대중교통 이용, 필요시 보건용 마스크 착용 등 건강관리에 유의 바랍니다.

","경기도 전체
서울특별시 전체
인천광역시 전체
충청북도 전체"
8,2020/01/13 07:17:01,"[완도군청] 2020-01-13 오늘 06시 30분경 완도군 완도읍 화흥리 794-28
화재발생
안전에 유의하시기 바랍니다

",전라남도 완도군
9,2020/01/14 11:24:39,"[행정안전부] 오늘 11시30분 경북(울릉도.독도) 대설경보, 대중교통이용, 내집앞 눈치우기, 눈길 미끄럼 등 주의바랍니다.

",경상북도 울릉군
10,2020/01/16 09:59:07,"[행정안전부] 오늘 10:00 강원 동해안지역 건조경보, 입산시 화기소지 및 논두렁, 폐기물 소각 금지 등 화재에 주의바랍니다.

","강원도 강릉시
강원도 고성군
강원도 동해시
강원도 삼척시
강원도 속초시
강원도 양양군
강원도 정선군"
11,2020/01/23 15:08:34,"[경상북도청]신종 코로나바이러스감염증 예방수칙(손씻기,기침예절,마스크 착용 등) 준수, 중국 우한시 여행 후 발열,호흡기 증상시 1339 또는 시군 보건소 문의

",경상북도 전체
12,2020/01/23 17:00:37,"[행정안전부] 신종 코로나바이러스감염증 예방을 위해 손씻기, 기침예절, 마스크착용 등 수칙 준수와 발열 호흡기 증상 발생 시 1339 또는 보건소로 상담바랍니다.

","강원도 전체
경기도 전체
경상남도 전체
광주광역시 전체
대구광역시 전체
대전광역시 전체
부산광역시 전체
서울특별시 전체
울산광역시 전체
인천광역시 전체
전라남도 전체
전라북도 전체
제주특별자치도 전체
충청남도 전체
충청북도 전체
세종특별자치시"
13,2020/01/23 18:11:01,"[연천군청]설 명절 아프리카 돼지열병 확산방지를 위하여, 방역울타리 출입을 자제해 주시고, 울타리 출입 시 반드시 문단속을 하여 주시기 바랍니다.

",경기도 연천군
14,2020/01/24 11:00:05,"[대구광역시청]신종 코로나바이러스감염증 예방을 위해 손씻기, 기침예절, 마스크착용 등 수칙 준수와 발열 호흡기증상 발생시 1339 또는 보건소로 상담 바랍니다.

",대구광역시 전체
15,2020/01/24 11:00:13,"[전남도청]신종 코로나바이러스감염증 예방을 위해 손씻기, 마스크착용 등 수칙 준수, 중국 우한시 방문후 발열, 호흡기증상 발생시 1339 또는 보건소 상담바랍니다

",전라남도 전체
16,2020/01/24 11:37:52,"[경기도청]신종 코로나바이러스 감염증 예방수칙 준수(손씻기,기침예절), 중국 우한시 방문후 발열, 호흡기 증상 발생시 1339 또는 보건소로 문의하시기 바랍니다.

",경기도 전체
17,2020/01/24 11:56:05,"[경상남도청] 중국 우한시 방문 후 14일 이내 발열, 호흡기증상 발생시 1339 또는 보건소로 상담하시고, 감염병 예방활동을 준수하여 주시기 바랍니다.

",경상남도 전체
18,2020/01/24 12:13:09,"[충청남도청] 신종 코로나바이러스감염증 예방을 위해 손씻기, 기침예절, 마스크 착용 등 수칙 준수와 발열 호흡기증상 발생 시 1339 또는 보건소 상담바랍니다

",충청남도 전체
19,2020/01/24 12:39:14,"[인천광역시청]신종 코로나바이러스감염증, 예방수칙(손씻기, 기침예절, 마스크 착용 등) 준수, 발열,호흡기증상 발생 시 1339 콜센터 또는 보건소 상담바랍니다.

",인천광역시 전체
20,2020/01/24 13:04:03,"[대전광역시청]신종 코로나바이러스감염증 예방을 위해 손씻기, 마스크 착용 등 수칙 준수와 발열 호흡기 증상 발생 시 1339 콜센터 또는 보건소로 상담바랍니다.

",대전광역시 전체
21,2020/01/24 14:00:06,"[강원도청]신종 코로나바이러스감염증 예방을 위해 손씻기,마스크착용 등 수칙 준수, 중국 우한시 방문 후 발열 호흡기 증상 발생 시 1339 또는 보건소 상담.

",강원도 전체
22,2020/01/24 15:00:02,"[광주광역시]신종 코로나바이러스감염증 예방을 위해 손씻기, 기침예절, 마스크 착용 등 수칙 준수와 발열 호흡기증상 발생 시 1339 또는 보건소 상담바랍니다.

",광주광역시 전체
23,2020/01/24 16:27:20,"[전라북도] 중국 방문 후 발열, 호흡기 증상 발생시 1339콜센터 또는 보건소로 전화 요망. 신종 코로나바이러스감염증 예방수칙(손씻기, 마스크 착용 등) 준수

",전라북도 전체
24,2020/01/24 16:27:59,"[세종시청] 신종 코로나바이러스 예방을 위해, 중국 우한시 방문 14일 이내 발열, 기침 증상 시 병원에 방문하지 말고 1339 또는 보건소로 연락바랍니다.

",세종특별자치시
25,2020/01/24 16:45:13,"[의정부시청] 중국 우한시 방문 후 발열, 호흡기증상 발생시 1339 또는 의정부시보건소로 문의바람. ※ 신종코로나바이러스 감염증 예방수칙(손씻기, 기침예절)준수

",경기도 의정부시
26,2020/01/24 17:01:35,"[제주특별자치도]신종 코로나바이러스감염증 예방을 위해 손씻기, 기침예절, 마스크착용 등 수칙 준수와 발열호흡기 증상 발생시 1339 또는 보건소로 상담바랍니다.

",제주특별자치도 전체
27,2020/01/24 17:01:52,"[울산광역시]신종 코로나바이러스감염증 예방수칙(손씻기,마스크착용등)준수. 중국우한시 여행후 14일이내 발열, 호흡기 증상시 1339 또는 보건소로 상담 바랍니다.

",울산광역시 전체
28,2020/01/25 04:41:39,"[수자원공사] 정읍시 설연휴 수돗물 사용량 급증으로 인한 관로누수로 일부지역 단수, 수돗물공급 25일 동지역 9시, 면지역 18시 예정(읍면동사무소 병물 지급)

",전라북도 정읍시
29,2020/01/25 09:29:53,"[광주시]중국(우한시) 방문 후 발열,기침 등 증상시 콜센터(1339)또는 보건소(선별진료760-2357)문의, 개인위생수칙 준수

",경기도 광주시
30,2020/01/25 11:31:51,"[충청북도청]신종 코로나바이러스감염증 예방수칙(손씻기, 기침예절, 마스크 착용 등)준수, 발열, 호흡기증상 발생 시 1339콜센터 또는 보건소로 상담바랍니다.

",충청북도 전체
31,2020/01/25 16:50:16,"[제주특별자치도] 신종 코로나바이러스 감염증 예방을 위해 손씻기, 기침예절, 마스크 착용 등 준수와 호흡기 증상 등 발생 시 1339 또는 보건소로 상담바랍니다.

",제주특별자치도 전체
32,2020/01/25 17:02:05,"[완도군청] 신종 코로나바이러스 감염예방. 손씻기, 마스크 착용 등 수칙 준수와 호흡기 증상 등 발생시 1339 또는 보건의료원(550-6767) 상담 바랍니다.

",전라남도 완도군
33,2020/01/26 09:09:11,"[중구청] 오늘 07:00경 중구 장충동 앰버서더호텔 내 화재 발생. 이 지역을 우회하여 주시고 인근 주민은 안전사고 발생에 유의 바랍니다.

",서울특별시 중구
34,2020/01/26 10:12:46,"[대전광역시청] 신종 코로나바이러스감염증 예방을 위한 개인위생 수칙준수와
중국여행 후 14일 이내 발열과 호흡기 증상 발생 시 1339나 보건소로 상담바랍니다.

",대전광역시 전체
35,2020/01/26 11:00:36,"[전남도청]신종 코로나바이러스감염증 예방을 위해 손씻기, 마스크착용 등 수칙 준수, 중국 우한시 방문후 발열, 호흡기증상 발생시 1339 또는 보건소 상담바랍니다

",전라남도 전체
36,2020/01/26 13:02:42,"[전라북도청] 중국 방문 후 발열, 호흡기 증상 발생시 1339콜센터 또는 보건소로 전화 요망. 신종 코로나바이러스감염증 예방수칙(손씻기,마스크 착용 등) 준수

",전라북도 전체
37,2020/01/26 20:28:00,"[행정안전부] 오늘 22시00분 제주앞바다(제주동부앞바다,제주남부앞바다) 풍랑경보, 어선 출항 금지, 해안가 낚시야영객은 안전지대로 대피바랍니다

","제주특별자치도 서귀포시
제주특별자치도 제주시"
38,2020/01/27 10:41:05,"[행정안전부] 부산, 울산, 경남 지역에 강풍으로 항내 정박중인 선박의 계류줄 절단 및 닻 끌림 등으로 표류, 충돌사고가 우려되니 각별히 주의하시기 바랍니다.

","경상남도 거제시
경상남도 고성군
경상남도 남해군
경상남도 사천시
경상남도 창원시
경상남도 통영시
부산광역시 전체
울산광역시 전체"
39,2020/01/27 11:00:03,"[광주광역시청]신종 코로나바이러스감염증 예방을 위해 손씻기, 기침예절, 마스크 착용 등 수칙 준수와 발열 호흡기증상 발생 시 1339 또는 보건소 상담바랍니다.

",광주광역시 전체
40,2020/01/27 11:13:01,"[완도군청] 신종 코로나바이러스 감염예방, 손씻기, 마스크 착용 등 수칙준수와 호흡기 증상 등 발생시 1339 또는 보건의료원(550-6767) 상담 바랍니다.

",전라남도 완도군
41,2020/01/27 13:58:40,"[울산광역시청] 신종 코로나바이러스감염증 예방수칙(손씻기 등) 준수, 중국 우한시 여행후 14일 이내 발열, 호흡기 증상 시 1339 또는 보건소로 상담바랍니다.

",울산광역시 전체
42,2020/01/27 14:13:16,"[순천시청]순천시 우한폐렴 의심환자 이상없음(음성판정). 우한폐렴 예방(손씻기, 마스크착용 등) 준수와 의심증상 발생 시 1339 또는 보건소상담749-6680

",전라남도 순천시
43,2020/01/27 14:28:02,"[제주특별자치도] 신종 코로나바이러스 감염증 예방을 위해 손씻기, 기침예절, 마스크 착용 등 준수와 호흡기 증상 등 발생 시 1339 또는 보건소로 상담바랍니다.

",제주특별자치도 전체
44,2020/01/27 15:57:54,"[고양시청]최근 14일 이내 중국을 다녀온 후 발열과 호흡기 증상 발생 시 의료기관 방문 전 1339 또는 관할 보건소로 반드시 문의하시기 바랍니다.

",경기도 고양시
45,2020/01/27 17:00:14,"[전남도청] 신종 코로나바이러스감염증 예방을 위해 손씻기, 마스크 착용 등 수칙 준수, 중국 방문 후 발열, 호흡기증상 발생시 1339 또는 보건소 상담바랍니다.

","전라남도 강진군
전라남도 고흥군
전라남도 곡성군
전라남도 광양시
전라남도 구례군
전라남도 나주시
전라남도 담양군
전라남도 목포시
전라남도 무안군
전라남도 보성군
전라남도 신안군
전라남도 여수시
전라남도 영광군
전라남도 영암군
전라남도 장성군
전라남도 장흥군
전라남도 진도군
전라남도 함평군
전라남도 해남군
전라남도 화순군"
46,2020/01/27 17:32:41,"[부산광역시]신종 코로나바이러스 감염증 예방을 위해 손씻기, 마스크착용 등 수칙준수, 중국 방문후 발열 호흡기 증상 발생시 1339 또는 지역보건소 상담바랍니다.

",부산광역시 전체
47,2020/01/27 19:02:22,"[서울시] 신종 코로나바이러스 예방을 위해 마스크 착용, 손 씻기 등 수칙을 준수하시고, 발열, 호흡기 증상시 1339 또는 보건소로 문의하시기 바랍니다

",서울특별시 전체
48,2020/01/28 00:17:58,"[행정안전부] 오늘 00시10분 강원(강원중부산지,강원남부산지) 대설경보, 대중교통이용, 내집앞 눈치우기, 눈길 미끄럼 등 주의바랍니다.

","강원도 강릉시
강원도 동해시
강원도 삼척시
강원도 정선군
강원도 평창군
강원도 홍천군"
49,2020/01/28 08:42:26,"[서울시재난대책본부] 신종 코로나바이러스 대응 경계 단계로 격상(1.27). 중국방문 후 발열, 호흡기 증상 발생시 1339 또는 보건소로 문의하시기 바랍니다.

",서울특별시 전체
50,2020/01/28 10:14:00,"[제주특별자치도]신종 코로나바이러스감염증 예방을 위해 손씻기, 기침예절, 마스크 착용 등 수칙 준수와 발열 호흡기증상 발생 시 1339 또는 보건소 상담바랍니다.

",제주특별자치도 전체
51,2020/01/28 13:28:25,"[평택시]신종 코로나바이러스가 확산됨에 따라 감염증 예방수칙(손씻기, 마스크착용 등)준수.발열,호흡기 증상 시 반드시 1339 또는 보건소로 문의하시기 바랍니다

",경기도 평택시
52,2020/01/28 16:51:39,"[경남도청]중국 방문 후 14일 이내 발열 및 호흡기증상 발생시 보건소 또는 1339로 상담하시고, 손씻기, 마스크착용 등을 준수합시다.(경상남도 홈페이지 참조)

",경상남도 전체
